Date, INR_per_USD ,CAD_Ind_Q,GDP_Ind_Q,GDP_Ind_per_Q_2004_2005,Inflation_Ind_M,MIBOR,LIBOR,Forieg_equit_inv_Ind_D,Forieg_Debt_inv__Ind_D,FDI_Ind_14169_M,RBI_Repo_Rate_Date,Trade_Deficit_Ind_M,Fiscal_Deficit_Ind_Y,NIFTY_PE_Ind_D,Brent_D,USDCNY_D,EURUSD_D,USDJPY_D,US_GDP_perc_Q,US_NFP_M,US_Unemp_Q,Strength_USD_D,Tourism_IND_USD_mn_Yr,Tourism_USA_USD_mn_Yr,Inflation_USA_percen_m,FEDFUNDS_USA_m,US_Net_Inter_Invest_Position_USD_mn_q,FDI_US_USD_mn_q,Discount_rate_USA_perc_m,Trade_Deficit_USA_USD_mn_m,Fiscal_Deficit_USA_per_Y
01-01-2012,NA,-4.44,NA,5.8,6.26,NA,NA,NA,NA,871,NA,-17573.4,5.8,NA,NA,NA,NA,NA,2.7,348,8.27,NA,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
02-01-2012,53.3062,-4.44,NA,5.8,6.26,8.01,NA,-7.33,203.77,871,NA,-17573.4,5.8,13.8239,NA,6.3009,1.2934,76.9,2.7,348,8.27,80.28,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
03-01-2012,53.225,-4.44,NA,5.8,6.26,7.89,0.5825,61.18,221.23,871,NA,-17573.4,5.8,14.2071,112.13,6.3009,1.305,76.74,2.7,348,8.27,79.611,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
04-01-2012,52.975,-4.44,NA,5.8,6.26,7.65,0.5825,48.41,552.56,871,NA,-17573.4,5.8,14.1605,113.7,6.2943,1.2943,76.72,2.7,348,8.27,80.129,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
05-01-2012,52.985,-4.44,NA,5.8,6.26,7.59,0.5825,104.07,208.52,871,NA,-17573.4,5.8,14.1614,112.74,6.3011,1.2789,77.12,2.7,348,8.27,80.936,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
06-01-2012,52.7212,-4.44,NA,5.8,6.26,7.59,0.5815,4.75,395.89,871,NA,-17573.4,5.8,14.1737,113.06,6.3094,1.2717,76.97,2.7,348,8.27,81.254,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
07-01-2012,NA,-4.44,NA,5.8,6.26,NA,NA,NA,NA,871,NA,-17573.4,5.8,14.1523,NA,NA,NA,NA,2.7,348,8.27,NA,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
08-01-2012,NA,-4.44,NA,5.8,6.26,NA,NA,NA,NA,871,NA,-17573.4,5.8,NA,NA,NA,NA,NA,2.7,348,8.27,NA,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
09-01-2012,52.515,-4.44,NA,5.8,6.26,7.67,0.5805,2.35,67.7,871,NA,-17573.4,5.8,14.1409,112.45,6.3144,1.2765,76.86,2.7,348,8.27,81.051,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
10-01-2012,51.705,-4.44,NA,5.8,6.26,7.91,0.5795,77.58,110.61,871,NA,-17573.4,5.8,14.4592,113.28,6.315,1.2778,76.85,2.7,348,8.27,80.805,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
11-01-2012,51.8925,-4.44,NA,5.8,6.26,8.21,0.5765,96.14,309.27,871,NA,-17573.4,5.8,14.4932,112.24,6.3153,1.2707,76.85,2.7,348,8.27,81.351,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
12-01-2012,51.59,-4.44,NA,5.8,6.26,8.35,0.5715,101.38,538.96,871,NA,-17573.4,5.8,14.4046,111.26,6.3181,1.2814,76.76,2.7,348,8.27,80.77,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
13-01-2012,51.5275,-4.44,NA,5.8,6.26,8.72,0.567,70.88,432.01,871,8.5,-17573.4,5.8,14.5083,110.44,6.3065,1.268,76.97,2.7,348,8.27,81.515,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
14-01-2012,NA,-4.44,NA,5.8,6.26,NA,NA,NA,NA,871,NA,-17573.4,5.8,NA,NA,NA,NA,NA,2.7,348,8.27,NA,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
15-01-2012,NA,-4.44,NA,5.8,6.26,NA,NA,NA,NA,871,NA,-17573.4,5.8,NA,NA,NA,NA,NA,2.7,348,8.27,NA,18340,200997,2.925217,0.08,-4547907,2993642,0.75,-50983,-6.73
